79;60;6
67;45;96
73;30;65
38;12;48
5;78;76
46;63;15
34;47;34
24;74;28
48;73;63
52;1;51
87;14;81
61;12;2
45;53;18
61;54;84
70;8;28
61;98;95
34;34;34
74;76;99
11;15;28
1;40;5
87;73;66
95;53;67
78;36;44
78;40;25
66;14;20
15;6;53
100;81;81
73;31;28
76;13;89
96;29;28
83;73;39
2;69;18
20;98;46
18;89;84
64;64;28
64;11;57
39;91;99
76;50;17
18;18;33
50;26;18
62;55;75
66;86;30
44;84;4
2;78;9
22;78;61
100;85;68
57;78;66
47;2;7
29;39;57
65;86;87
45;78;45
24;30;82
76;65;6
36;50;32
85;45;15
68;60;60
79;82;33
98;10;66
75;20;87
11;74;11
14;92;4
25;24;81
12;13;36
94;43;35
18;56;84
21;60;82
61;68;61
88;9;56
46;78;81
3;85;61
81;20;95
78;18;94
47;100;42
5;86;15
1;44;49
46;46;46
19;88;48
14;59;74
43;1;92
55;29;49
98;37;31
69;50;92
38;82;86
18;12;74
2;35;22
85;10;25
81;30;83
87;50;67
57;57;85
57;22;100
68;36;30
94;50;42
16;24;94
97;94;72
12;6;38
83;87;88
9;80;96
86;84;13
77;54;96
69;91;47
30;3;93
23;36;62
32;36;8
9;32;98
51;79;52
63;53;98
5;82;58
24;34;28
6;97;28
30;51;78
17;66;66
80;76;81
49;89;55
24;16;52
2;43;35
4;48;12
63;86;38
2;53;45
25;83;5
56;64;3
90;27;86
14;50;66
55;24;29
64;17;5
1;69;12
60;33;15
79;52;61
86;21;23
42;10;54
61;61;22
23;18;18
51;90;81
22;10;98
17;20;12
12;66;52
19;49;8
87;27;52
20;46;29
48;73;51
4;70;5
87;75;87
59;79;3
51;32;53
97;24;2
64;83;37
87;56;26
78;13;95
50;2;72
66;74;21
69;14;2
44;6;26
44;48;82
57;19;67
41;85;69
88;70;70
87;59;81
52;42;95
11;8;21
65;68;44
69;17;26
88;15;34
91;70;36
10;14;12
82;12;82
13;80;15
2;11;68
81;81;81
99;26;80
35;92;20
10;2;63
70;22;87
75;1;55
42;21;91
24;30;93
50;70;16
8;57;25
4;55;70
49;51;28
47;92;7
39;57;3
69;35;45
36;18;23
65;37;97
79;10;21
52;95;57
82;65;8
22;76;93
98;41;59
91;39;80
25;93;81
53;47;27
99;74;55
24;9;63
53;76;68
85;57;63
68;88;33
80;60;85
16;43;84
67;94;3
58;20;13
99;70;89
75;27;31
50;21;10
42;67;100
18;93;94
3;81;63
25;89;87
67;68;72
27;96;85
88;99;41
66;32;87
37;63;37
99;96;55
6;8;32
67;39;34
18;50;33
57;81;81
47;21;74
3;9;50
49;18;20
44;56;27
17;3;48
85;38;39
100;25;81
97;42;35
40;47;51
78;37;56
41;21;20
95;4;73
62;50;29
2;49;76
3;82;1
31;88;52
46;10;7
71;22;73
22;7;4
7;87;20
51;89;62
35;89;89
38;42;55
39;43;21
29;54;36
90;56;56
67;70;92
10;49;92
96;26;53
6;98;5
17;41;31
82;98;48
14;99;96
33;56;65
93;26;99
15;62;75
9;73;7
97;45;49
56;28;10
12;40;29
3;15;87
73;31;95
62;80;76
78;15;45
90;59;94
89;25;54
81;39;98
18;11;40
1;30;23
97;34;58
17;62;50
21;1;76
44;10;82
77;44;46
91;91;91
38;81;38
24;84;47
25;19;76
14;79;96
23;7;9
23;24;45
79;61;81
17;16;61
46;36;100
52;51;92
28;54;41
5;45;35
43;99;47
78;79;24
6;1;50
23;26;51
31;92;56
11;75;92
16;5;9
91;80;16
93;69;94
3;94;89
22;57;60
84;77;66
28;68;21
12;54;41
83;7;89
78;28;2
23;46;70
50;99;67
68;65;95
99;35;99
12;35;95
100;91;61
54;12;80
88;1;27
29;74;61
24;75;56
92;64;9
83;62;97
5;77;19
34;70;92
50;16;50
1;31;24
68;45;72
79;99;26
33;13;55
10;30;81
29;19;18
17;52;84
19;18;71
82;17;10
65;28;60
61;26;96
29;87;58
27;79;6
2;66;28
14;52;57
59;95;78
92;65;82
29;32;88
59;65;90
11;39;51
59;2;73
70;87;92
45;36;48
59;66;70
30;9;56
100;54;10
37;90;49
63;72;46
52;69;81
60;92;25
48;96;7
51;20;99
64;89;12
86;35;56
14;32;45
75;66;4
78;98;82
96;46;64
35;96;20
8;43;1
27;16;31
88;57;89
20;62;82
2;70;48
85;93;39
49;36;61
80;86;79
34;57;62
82;5;76
14;3;97
80;69;5
38;87;50
77;28;59
37;44;57
71;71;4
91;50;35
14;88;35
17;87;55
97;60;42
91;41;75
77;85;68
40;48;35
93;37;50
90;36;20
55;28;10
100;70;25
3;32;20
66;58;88
83;32;49
23;11;56
22;59;43
98;25;32
20;94;26
2;86;49
15;10;6
35;90;64
94;67;12
3;88;63
10;61;22
82;4;45
94;93;24
80;95;100
6;92;70
90;74;97
59;26;90
11;10;64
3;75;18
81;54;61
83;67;4
58;56;20
94;35;92
24;68;57
95;70;90
90;94;76
3;2;83
100;51;27
83;87;25
65;58;92
90;38;88
94;35;62
17;43;98
91;4;50
65;55;100
11;86;9
62;45;79
20;31;3
17;10;73
9;52;5
34;92;93
63;80;78
19;65;25
33;51;53
90;30;4
10;37;28
42;21;44
6;17;73
18;91;98
85;59;35
3;76;53
49;77;38
11;82;50
34;2;75
53;49;99
1;89;75
93;100;41
9;16;35
57;31;57
27;56;20
27;61;94
