20,1
58,8
70,0
81,5
98,4
101,7
117,0
119,8
141,2
152,6
154,9
166,5
174,9
176,3
190,4
215,9
240,5
254,8
255,6
285,0
332,1
333,3
344,8
352,6
353,4
376,0
388,3
408,5
410,2
435,8
472,1
479,1
479,2
484,1
484,3
494,5
494,9
520,2
529,4
538,8
542,7
544,3
558,3
562,8
574,2
582,2
585,0
607,3
620,2
624,4
626,1
633,7
643,0
654,2
664,9
670,3
671,9
687,8
691,0
708,4
713,6
714,0
728,2
731,4
732,4
743,8
751,6
769,1
771,6
779,5
780,0
785,8
790,1
796,7
812,2
813,9
818,2
833,0
836,3
839,1
854,1
854,5
878,5
882,0
890,2
896,6
901,5
903,1
924,0
930,1
944,1
957,8
958,8
973,7
1.000,5
1.026,5
1.037,4
1.049,8
1.065,2
1.085,4
1.089,5
1.103,3
1.111,8
1.129,2
1.147,1
1.161,0
1.194,4
1.203,1
1.206,6
1.219,4
1.266,0
1.267,5
1.294,7
1.305,2
1.347,7
1.377,4
1.391,9
1.400,9
1.423,5
1.431,4
1.485,5
1.493,5
1.512,6
1.518,1
1.520,3
1.533,0
1.537,3
1.545,0
1.546,0
1.557,4
1.585,3
1.588,0
1.595,8
1.643,7
1.646,9
1.649,7
1.650,0
1.657,3
1.668,7
1.676,4
1.698,6
1.722,2
1.746,6
1.753,7
1.774,5
1.779,7
1.795,5
1.801,5
1.803,2
1.842,2
1.872,3
1.904,7
1.914,0
1.915,0
1.962,7
2.008,9
2.048,4
2.055,4
2.076,9
2.209,6
2.214,2
2.254,5
2.281,0
2.297,0
2.297,5
2.308,1
2.333,6
2.350,2
2.387,5
2.409,4
2.482,3
2.551,6
2.564,8
2.568,6
2.591,6
2.605,0
2.696,5
2.730,0
2.788,5
2.789,0
2.852,8
2.875,1
2.875,7
2.989,1
2.997,8
3.022,1
3.096,1
3.162,9
3.179,4
3.181,6
3.196,6
3.549,7
